Axis: (0, -0.0347911008026368)
Axis: (0, -0.772118289742729)
Axis: (1, -0.059450056459242534)
Axis: (1, 0.05935850093081454)
Axis: (0, 0.3449507126071963)
Axis: (1, 0.9174169133579516)
Axis: (0, 0.24051637318033386)
Axis: (1, 0.9438459425641652)
Axis: (0, 0.1392559587389752)
Axis: (1, 0.9735404522843104)
Axis: (0, 0.04431287575914793)
Axis: (1, 0.9834284493545336)
Axis: (0, -0.05063020722067934)
Axis: (1, 0.9867244483779413)
Axis: (0, -0.13290810876796777)
Axis: (0, -0.18985564745017852)
Axis: (1, 0.9768364513077181)
Axis: (0, -0.27213354899746695)
Axis: (1, 0.9636219367046114)
Axis: (0, -0.31327249977111116)
Axis: (1, 0.9537339396343882)
Axis: (0, -0.3512375255592517)
Axis: (1, 0.9438459425641652)
Axis: (0, -0.37339396343882564)
Axis: (1, 0.9306314279610584)
Axis: (0, -0.4113895077364422)
Axis: (1, 0.9207434308908353)
Axis: (0, -0.4715109714041566)
Axis: (1, 0.8976409192175054)
Axis: (0, -0.5411236915189063)
Axis: (1, 0.8712118900112918)
Axis: (0, -0.5854365672780542)
Axis: (1, 0.8316293832209235)
Axis: (0, -0.6518753624073)
Axis: (1, 0.7986083559678945)
Axis: (0, -0.727835932493057)
Axis: (1, 0.7260048219244972)
Axis: (0, -0.7752922147282326)
Axis: (1, 0.6534012878810999)
Axis: (0, -0.8037659840693381)
Axis: (1, 0.5511032441175573)
Axis: (1, 0.39927365947447124)
Axis: (1, 0.23755607776116214)
Axis: (0, -0.772118289742729)
Axis: (1, 0.05935850093081454)
Axis: (0, -0.7088534195989867)
Axis: (1, -0.02316354869228187)
Axis: (0, -0.5822626422925504)
Axis: (1, -0.11886959440900906)
Axis: (0, -0.4715109714041566)
Axis: (1, -0.20465712454603718)
Axis: (0, -0.39555040131839964)
Axis: (1, -0.24097415082247384)
Axis: (0, -0.3227637562181463)
Axis: (1, -0.2871791741691336)
Axis: (0, -0.2753074739829707)
Axis: (1, -0.30368968779564803)
Axis: (0, -0.25315103610339673)
Axis: (1, -0.32346568193609426)
Axis: (0, -0.2120120853297525)
Axis: (1, -0.35648670918912323)
Axis: (0, -0.19302957243568225)
Axis: (1, -0.3828852198858608)
Axis: (0, -0.16769920957060458)
Axis: (1, -0.40269173253578294)
Axis: (0, -0.1487166966765343)
Axis: (1, -0.40598773155919066)
Axis: (0, -0.1392254402294992)
Axis: (1, -0.40928373058259837)
Axis: (0, -0.12656025879696037)
Axis: (0, -0.11706900234992523)
Axis: (1, -0.41257972960600603)
Axis: (0, -0.09491256447035126)
Axis: (0, -0.07593005157628102)
Axis: (1, -0.40928373058259837)
Axis: (0, -0.0727866451002533)
Axis: (1, -0.3861812189092685)
Axis: (0, -0.06012146366771447)
Axis: (1, -0.336680196539201)
Axis: (0, -0.05063020722067934)
Axis: (1, -0.30368968779564803)
Axis: (1, -0.2739646595660268)
Axis: (1, -0.24427014984588152)
Axis: (1, -0.23108615375225075)
Axis: (1, -0.22116763817255164)
Axis: (1, -0.20798364207892087)
Axis: (1, -0.19806512649922178)
Axis: (0, -0.08227790154728844)
Axis: (1, -0.009949034089175085)
Axis: (0, -0.8923917355876338)
Axis: (1, -0.5115817743461409)
Axis: (0, -0.9082003234962004)
Axis: (1, -0.4587847529526658)
Axis: (0, -0.9271828363902707)
Axis: (1, -0.41257972960600603)
Axis: (0, -0.9430219428083132)
Axis: (1, -0.3465681936094241)
Axis: (0, -0.9493392742698447)
Axis: (1, -0.30368968779564803)
